05/23/2011,GER-DUNWI-98C3LZRUYW,05/23/2011
06/02/2011,GER-DUNWI-99E358TMSC,06/02/2011
07/27/2011,GER-DUNWI-9AC3BAYPJC,07/27/2011
08/08/2011,GER-DUNWI-9BH32ZUH6V,08/08/2011
08/23/2011,GER-DUNWI-9BH33CSBBX,08/23/2011
11/07/2011,GER-DUNWI-9DK3L3HYZ3,11/07/2011
11/29/2011,GER-DUNWI-9E43ASEQUA,11/29/2011
12/28/2011,GER-DUNWI-A343NWU5RK,12/28/2011
01/31/2012,GER-DUNWI-A4F3TKF25M,01/31/2012
04/26/2012,GER-DUNWI-A733HWCB4D,04/26/2012
06/30/2012,GER-DUNWI-A993GN2RKJ,06/30/2012
08/02/2012,GER-DUNWI-AAC3PQFUP4,08/02/2012
08/20/2012,GER-DUNWI-AAY3LQMQAC,08/20/2012
09/13/2012,GER-DUNWI-ABG22WBFVH,09/13/2012
09/21/2012,GER-DUNWI-ABP3WB5NKB,09/21/2012
09/22/2012,GER-DUNWI-ABQ3NU3LSM,09/22/2012
09/25/2012,GER-DUNWI-ABT4MXFDZA,09/25/2012
10/05/2012,GER-DUNWI-AC74KX844Y,10/05/2012
10/05/2012,GER-DUNWI-AC93X3C9MD,10/05/2012
10/06/2012,GER-DUNWI-AC83ANZKZM,10/06/2012
10/07/2012,GER-DUNWI-AC94JAZSBK,10/07/2012
10/12/2012,GER-DUNWI-ACE456MEL3,10/12/2012
10/14/2012,GER-DUNWI-ACG3QYPFKJ,10/14/2012
10/16/2012,GER-DUNWI-ACK22JTEAA,10/16/2012
10/22/2012,GER-DUNWI-ACQ4FW82WW,10/22/2012
10/25/2012,GER-DUNWI-ACT3NAN4XR,10/25/2012
11/01/2012,GER-DUNWI-AD33S4ZXTJ,11/01/2012
11/04/2012,GER-DUNWI-AD63VB5T5,11/04/2012
11/08/2012,GER-DUNWI-ADA3PXC8QJ,11/08/2012
11/22/2012,GER-DUNWI-ADQ36A55JR,11/22/2012
11/30/2012,GER-DUNWI-ADY3QL98E6,11/30/2012
12/28/2012,GER-DUNWI-AEW3VTAVEA,12/28/2012
01/17/2013,GER-DUNWI-B3K4K8P3D8,01/17/2013
01/31/2013,GER-DUNWI-B3Z4L6REPQ,01/31/2013
02/02/2013,GER-DUNWI-B443NQTQCL,02/02/2013
02/15/2013,GER-DUNWI-B4H45ZXXNA,02/15/2013
02/15/2013,GER-DUNWI-B4H479JCWF,02/15/2013
02/23/2013,GER-DUNWI-B4R324TD33,02/23/2013
03/19/2013,GER-DUNWI-B5M4K3B93G,03/19/2013
03/27/2013,GER-DUNWI-B5X3YAUMQ9,03/27/2013
03/31/2013,GER-DUNWI-B5Z4CGQLA5,03/31/2013
04/12/2013,GER-DUNWI-B6E3TH6XEX,04/12/2013
04/14/2013,GER-DUNWI-B6K3CDUCUL,04/14/2013
04/16/2013,GER-DUNWI-B6K3AW8DNK,04/16/2013
05/06/2013,GER-DUNWI-B784N4YBBY,05/06/2013
05/11/2013,GER-DUNWI-B7E33ZMYMT,05/11/2013
05/15/2013,GER-DUNWI-B7K3BG26JU,05/15/2013
05/16/2013,GER-DUNWI-B7L35CACSJ,05/16/2013
05/18/2013,GER-DUNWI-B7L36R8D6D,05/18/2013
05/18/2013,GER-DUNWI-B7M4ETT3SR,05/18/2013
05/19/2013,GER-DUNWI-B7M4BT9G9K,05/19/2013
05/19/2013,GER-DUNWI-B7M4F6YTV,05/19/2013
05/19/2013,GER-DUNWI-B7M4FJWLQ5,05/19/2013
05/20/2013,GER-DUNWI-B7N34336UN,05/20/2013
05/21/2013,GER-DUNWI-B7P35GFL38,05/21/2013
05/22/2013,GER-DUNWI-B7Q4GKPLVQ,05/22/2013
05/25/2013,GER-DUNWI-B7T4FMAUGQ,05/25/2013
05/26/2013,GER-DUNWI-B7U4BDVG3F,05/26/2013
05/27/2013,GER-DUNWI-B7V3DWFPHY,05/27/2013
05/27/2013,GER-DUNWI-B7V3FS5U9L,05/27/2013
05/27/2013,GER-DUNWI-B7X3YGPLP5,05/27/2013
05/31/2013,GER-DUNWI-B7Z4L7AK5T,05/31/2013
06/04/2013,GER-DUNWI-B864DWN9UQ,06/04/2013
06/04/2013,GER-DUNWI-B8735Y58RS,06/04/2013
06/07/2013,GER-DUNWI-B894BCEUUG,06/07/2013
06/07/2013,GER-DUNWI-B894CYUGVJ,06/07/2013
06/13/2013,GER-DUNWI-B8F4EP8T4B,06/13/2013
06/15/2013,GER-DUNWI-B8H4BGYMZZ,06/15/2013
06/17/2013,GER-DUNWI-B8K4D5PC5V,06/17/2013
06/22/2013,GER-DUNWI-B8Q4LHX3H3,06/22/2013
06/27/2013,GER-DUNWI-B8V496VTJ8,06/27/2013
06/30/2013,GER-DUNWI-B8Y2ZBMBWX,06/30/2013
06/30/2013,GER-DUNWI-B8Y3ES5JYB,06/30/2013
07/01/2013,GER-DUNWI-B9335AEJPV,07/01/2013
07/06/2013,GER-DUNWI-B984K9KKQG,07/06/2013
07/06/2013,GER-DUNWI-B984KLDUE3,07/06/2013
07/15/2013,GER-DUNWI-B9H3DG22RH,07/15/2013
07/17/2013,GER-DUNWI-B9K4J8VU26,07/17/2013
07/19/2013,GER-DUNWI-B9Q3TKQND6,07/19/2013
08/02/2013,GER-DUNWI-BA44R96XT82X4,08/02/2013
08/02/2013,GER-DUNWI-BA44RZ9WH8VL,08/02/2013
08/07/2013,GER-DUNWI-BA94PVAU58VU,08/07/2013
08/13/2013,GER-DUNWI-BAF4TLYY38VC,08/13/2013
08/24/2013,GER-DUNWI-BAS4TE7ZLXBU4,08/24/2013
09/08/2013,GER-DUNWI-BBA4J842Q55W8,09/08/2013
09/14/2013,GER-DUNWI-BBG4R9JXBXBUL,09/14/2013
09/19/2013,GER-DUNWI-BBM4PH2ZB55WB,09/19/2013
09/26/2013,GER-DUNWI-BBU4T3PZK8V9,09/26/2013
10/04/2013,GER-DUNWI-BC64UULVD82XC,10/04/2013
10/17/2013,GER-DUNWI-BCK4WSQYE7NXD,10/17/2013
10/19/2013,GER-DUNWI-BCM4YCRZQZUVV,10/19/2013
10/20/2013,GER-DUNWI-BCN2Y9ZP3XBUN,10/20/2013
11/21/2013,GER-DUNWI-BDP4R5Q22RHSH,11/21/2013
11/28/2013,GER-DUNWI-BDW4X75SQ8V9,11/28/2013
